Year,per
1975,20.35144314
1976,15.25925577
1977,12.74674598
1978,14.77746602
1979,14.91253739
1980,11.04013939
1981,10.17010809
1982,12.5409316
1983,10.80269266
1984,10.57054267
1985,11.37519101
1986,9.97545927
1987,10.88411943
1988,8.451265367
1989,8.327386457
1990,5.78809826
1991,5.446024852
1992,4.741692584
1993,6.361691851
1994,3.996541437
1995,3.495128452
1996,2.905969329
1997,3.883132939
1998,3.531479183
1999,1.972148538
2000,1.003959656
2001,1.092700218
2002,1.218972115
2003,0.736149446
2004,0.960101108
2005,1.013138578
2006,1.427182748
2007,1.753099476
2008,10.39162672
2009,4.72508362
2010,2.026492061
2011,1.337481651
2012,0.785914332
2013,1.063976962
2014,1.021517663
2015,0.745295105
1975,1.798580342
1976,2.191138046
1977,1.244514344
1978,1.542159411
1979,2.699688949
1980,3.168268129
1981,3.085722524
1982,5.490021371
1983,3.258928555
1984,8.164430883
1985,9.238511174
1986,3.693925736
1987,5.04229831
1988,4.79619995
1989,4.722910606
1990,3.539833489
1991,3.112540291
1992,2.568346551
1993,0.092990636
1994,1.248908701
1995,2.144320416
1996,1.488339435
1997,1.024273256
1998,1.476410447
1999,2.42534003
2000,0.671390855
2001,1.363884797
2002,1.788514987
2003,1.064835567
2004,1.192432852
2005,0.84948472
2006,0.546547242
2007,0.910682271
2008,0.983522893
2009,0.998341257
2010,0.958947476
2011,1.051163052
2012,1.100623787
2013,0.63579789
2014,0.691314611
2015,1.188164158
