Year,Age,Num
1900,0,9.20874
1900,5,8.856266
1900,10,8.059418
1900,15,7.576589
1900,20,7.445099
1900,25,6.625336
1900,30,5.584138
1900,35,4.98162
1900,40,4.266057
1900,45,3.516438
1900,50,2.983019
1900,55,2.22654
1900,60,1.804079
1900,65,1.312875
1900,70,0.894754
1900,75,0.53409
1900,80,0.259884
1900,85,0.092622
1900,90,0.035257
2000,0,19.046094
2000,5,20.62171
2000,10,20.585757
2000,15,19.930088
2000,20,19.055559
2000,25,19.178
2000,30,20.325175
2000,35,23.110829
2000,40,22.80883
2000,45,20.186259
2000,50,17.419067
2000,55,13.38035
2000,60,10.79236
2000,65,9.258407
2000,70,8.977
2000,75,7.268299
2000,80,5.124536
2000,85,2.951513
2000,90,1.400884
