id,group,s,t
0,1,0,0
1,1,0,1
2,21,0,5
3,21,0,6
4,21,0,17
5,25,0,18
6,25,0,64
7,14,0,73
8,14,0,74
9,14,0,88
10,9,0,101
11,14,0,103
12,14,0,146
13,26,0,148
14,4,0,166
15,17,0,177
16,34,0,178
17,1,1,1
18,1,2,2
19,14,2,3
20,9,2,4
21,9,2,5
22,9,2,6
23,11,2,13
24,11,2,54
25,11,2,55
26,11,2,56
27,11,2,57
28,11,2,58
29,11,2,59
30,11,2,63
31,11,2,64
32,11,2,86
33,11,2,89
34,11,2,96
35,11,2,102
36,11,2,107
37,11,2,131
38,11,2,132
39,11,2,137
40,11,2,138
41,5,2,140
42,34,2,158
43,14,2,160
44,14,2,162
45,17,2,174
46,17,2,192
47,10,2,193
48,10,2,194
49,36,2,195
50,37,3,2
51,5,3,3
52,7,3,4
53,4,3,6
54,22,3,46
55,22,3,56
56,21,3,57
57,21,3,58
58,21,3,59
59,21,3,62
60,7,3,63
61,7,3,89
62,36,3,102
63,21,3,107
64,25,3,128
65,4,3,137
66,8,3,158
67,15,3,174
68,15,3,175
69,15,3,183
70,37,3,192
71,37,3,193
72,9,3,194
73,1,3,195
74,1,4,2
75,10,4,3
76,10,4,4
77,3,4,6
78,3,4,13
79,3,4,54
80,29,4,55
81,15,4,56
82,36,4,57
83,36,4,58
84,37,4,59
85,1,4,62
86,36,4,63
87,34,4,81
88,20,4,82
89,20,4,89
90,8,4,96
91,15,4,102
92,9,4,107
93,4,4,114
94,5,4,121
95,4,4,126
96,20,4,131
97,16,4,137
98,16,4,138
99,16,4,142
100,16,4,145
101,16,4,158
102,38,4,160
103,7,4,162
104,7,4,166
105,34,4,169
106,38,4,170
107,36,4,174
108,8,4,183
109,27,4,192
110,8,4,193
111,8,4,194
112,8,4,195
113,10,5,0
114,10,5,2
115,13,5,5
116,13,5,6
117,6,5,7
118,26,5,11
119,10,5,21
120,1,5,24
121,36,5,29
122,0,5,34
123,13,5,35
124,16,5,41
125,16,5,42
126,22,5,47
127,6,5,53
128,5,5,55
129,4,5,57
130,0,5,58
131,28,5,59
132,28,5,63
133,4,5,64
134,2,5,74
135,13,5,76
136,13,5,82
137,21,5,89
138,21,5,96
139,17,5,97
140,17,5,99
141,14,5,100
142,36,5,105
143,8,5,106
144,40,5,115
145,35,5,117
146,15,5,120
147,23,5,125
148,0,5,128
149,0,5,132
150,7,5,133
151,10,5,134
152,37,5,135
153,27,5,140
154,35,5,141
155,35,5,154
156,0,5,157
157,0,5,169
158,19,5,170
159,19,5,171
160,36,5,183
161,14,5,184
162,37,5,189
163,24,5,191
164,17,5,192
165,13,5,194
166,36,5,195
167,4,5,198
168,4,6,0
169,13,6,2
170,13,6,3
171,10,6,4
172,4,6,5
173,38,6,6
174,32,6,21
175,32,6,54
176,4,6,55
177,1,6,56
178,0,6,57
179,0,6,58
